案例编号,案例名称,适用场景,风险等级,案例描述,风险分析,正确做法,追问问题,教学目标
C001,使用矿泉水桶或饮料瓶装废液,化学废弃物管理,高风险,在实验室日常巡检中发现：使用矿泉水桶或饮料瓶装废液。,容器不规范、标签混乱、成分不明，可能造成误用、泄漏或混装反应。,立即转移至专用废液桶，张贴规范标签，培训相关人员。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C002,废液桶无标签或标签信息不完整,化学废弃物管理,高风险,在实验室日常巡检中发现：废液桶无标签或标签信息不完整。,废液成分、危险类别、责任人不明，增加转运和处置风险。,补贴标签，注明主要成分、危险类别、日期、责任人和实验室。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C003,不相容废液混装,化学废弃物管理,重大风险,在实验室日常巡检中发现：不相容废液混装。,酸碱、氧化还原、有机/无机等不相容废液混装可能反应、放热、放气或爆炸。,立即停止混装，按学校要求联系专业人员处置，不得盲目转移未知混合物。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C004,废液桶敞口放置,化学废弃物管理,中风险,在实验室日常巡检中发现：废液桶敞口放置。,挥发性物质逸散，可能造成吸入暴露、异味和火灾风险。,保持废液桶密闭，收集时使用漏斗后及时盖紧。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C005,化学品无标签或标签脱落,危险化学品管理,高风险,在实验室日常巡检中发现：化学品无标签或标签脱落。,化学品身份不明，无法判断危险性和相容性。,暂停使用，核实成分后补贴标签；无法确认的按未知危险化学品处理。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C006,酸碱试剂混放,危险化学品管理,高风险,在实验室日常巡检中发现：酸碱试剂混放。,泄漏后可能发生中和放热、腐蚀和飞溅。,按酸、碱分区或分柜存放，设置清晰标识。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C007,氧化剂与还原剂混放,危险化学品管理,高风险,在实验室日常巡检中发现：氧化剂与还原剂混放。,可能发生剧烈氧化还原反应，引发火灾或爆炸。,立即分柜存放，核查台账和标签。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C008,易燃液体靠近热源,危险化学品管理,高风险,在实验室日常巡检中发现：易燃液体靠近热源。,易燃蒸气遇热源或火源可能引发火灾。,转移至阴凉通风的防火/安全柜，远离热源和火源。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C009,危险化学品大量积存,危险化学品管理,中风险,在实验室日常巡检中发现：危险化学品大量积存。,库存过量增加火灾、中毒和泄漏后果。,按需领用，清理长期不用或过期试剂，完善台账。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C010,管制类化学品台账不全,管制类化学品管理,重大风险,在实验室日常巡检中发现：管制类化学品台账不全。,易制毒、易制爆、剧毒等管制类化学品去向不明，管理风险高。,立即盘点，补全采购、领用、使用、归还和余量记录，落实专人管理。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C011,气瓶未固定,气瓶安全,高风险,在实验室日常巡检中发现：气瓶未固定。,气瓶倾倒可能造成阀门损坏、泄漏、冲击伤害。,使用链条、支架或气瓶柜固定，清理通道。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C012,气瓶减压阀或管路漏气,气瓶安全,高风险,在实验室日常巡检中发现：气瓶减压阀或管路漏气。,气体泄漏可能导致中毒、窒息、燃爆。,立即停止使用，关闭阀门，通风并报告，联系专业人员处理。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C013,氢气或乙炔气瓶靠近火源,气瓶安全,重大风险,在实验室日常巡检中发现：氢气或乙炔气瓶靠近火源。,易燃气体遇火源存在燃爆风险。,立即移离火源，按易燃气体要求分类存放并固定。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C014,气瓶使用后未关闭总阀,气瓶安全,高风险,在实验室日常巡检中发现：气瓶使用后未关闭总阀。,可能造成持续泄漏和压力异常。,使用后关闭总阀，纳入离室检查。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C015,插线板串联使用,用电安全,高风险,在实验室日常巡检中发现：插线板串联使用。,容易过载、发热、短路并引发火灾。,立即拆除串联，使用合格固定插座，核查用电负荷。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C016,私拉乱接电线,用电安全,高风险,在实验室日常巡检中发现：私拉乱接电线。,线路不规范，存在触电、短路和火灾风险。,停止使用，联系专业电工整改。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C017,吹风机/烘干机使用后未拔插头,用电安全,中风险,在实验室日常巡检中发现：吹风机/烘干机使用后未拔插头。,小型电器待机可能过热、老化或短路。,使用后断电拔插头，纳入离室检查。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C018,电热板旁堆放纸张或塑料,用电安全,高风险,在实验室日常巡检中发现：电热板旁堆放纸张或塑料。,可燃物受热可能起火。,清理周边可燃物，设置安全距离。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C019,设备带故障运行,仪器设备安全,高风险,在实验室日常巡检中发现：设备带故障运行。,故障设备可能引发电气、机械或实验事故。,停止使用，张贴停用标识，报修并记录。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C020,气相色谱仪长期过夜无人值守,仪器设备安全,高风险,在实验室日常巡检中发现：气相色谱仪长期过夜无人值守。,长时间运行存在电气、气路和设备异常风险。,确需运行应审批备案，明确责任人、巡查记录和应急联系方式。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C021,加热回流实验无人看守,实验操作安全,高风险,在实验室日常巡检中发现：加热回流实验无人看守。,冷凝水中断、溶剂挥发或加热异常可能引发火灾。,停止无人值守，检查冷凝水、加热装置和通风橱，安排值守。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C022,通风橱内堆放大量杂物,场所环境与设施,中风险,在实验室日常巡检中发现：通风橱内堆放大量杂物。,影响通风效果和应急处置空间。,清理无关物品，保持通风橱操作空间。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C023,洗眼器前堆放物品,应急设施,高风险,在实验室日常巡检中发现：洗眼器前堆放物品。,紧急情况下无法及时冲洗，扩大伤害。,立即清理，保持应急设施前方畅通。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C024,灭火器被遮挡或过期,消防安全,高风险,在实验室日常巡检中发现：灭火器被遮挡或过期。,火情初期无法及时处置。,清理遮挡，检查压力和有效期，过期及时更换。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C025,消防通道堵塞,消防安全,高风险,在实验室日常巡检中发现：消防通道堵塞。,影响人员疏散和消防救援。,立即清理通道，保持安全出口畅通。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C026,实验室存放食品饮料,行为规范,中风险,在实验室日常巡检中发现：实验室存放食品饮料。,存在误食、污染和化学暴露风险。,清理食品饮料，开展行为规范教育。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C027,穿拖鞋短裤进入实验室,个人防护,中风险,在实验室日常巡检中发现：穿拖鞋短裤进入实验室。,皮肤暴露，易受化学品飞溅、玻璃划伤或烫伤。,要求穿实验服、长裤和包脚鞋，必要时佩戴护目镜。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C028,污染手套触摸门把手/手机,个人防护,中风险,在实验室日常巡检中发现：污染手套触摸门把手/手机。,造成交叉污染和二次暴露。,污染手套不得触摸公共物品，操作后脱手套洗手。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C029,样品长期无标签堆放,样品管理,中风险,在实验室日常巡检中发现：样品长期无标签堆放。,样品身份和危险性不明，影响处置。,补贴标签，清理无主样品，建立样品台账。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
C030,玻璃碎片与生活垃圾混放,废弃物管理,中风险,在实验室日常巡检中发现：玻璃碎片与生活垃圾混放。,可能造成割伤和污染。,使用专用防刺破容器收集玻璃碎片。,如果你是实验人员，如何避免该问题再次发生？,通过真实隐患案例培养学生风险识别、规范操作和闭环整改意识。
